"ชื่อที่เราใช้","หมวด","หน่วยนับ","ร้าน","ลำดับ","รหัสสินค้า","ชื่อในเว็บร้าน","ขนาดบรรจุ","ราคาตุ๊กตา","ยืนยันโดย"
"ซี่โครงหมู","เนื้อสัตว์","g","Freshket","1","10408","ซีโครงหมูหันชิน","1 กก./แพ็ค","159","นัท 16 ก.ย. 2026"
"ซี่โครงหมู","เนื้อสัตว์","g","GO","1","2000100052143","ซี่โครงหมูหั่นชิ้น 1 กก.","Kilogram","148","นัท 16 ก.ย. 2026"
"ทูน่ากระป๋อง","เนื้อสัตว์","g","Freshket","1","44297","ทูน่าสเต็ก ในน้าเกลือ ตราซีเล็คฟิตต์","1885 กรัม/กระ๋ปอง","289.72","นัท 16 ก.ย. 2026"
"ทูน่ากระป๋อง","เนื้อสัตว์","g","Freshket","2","46102","ทูน่าแซนวิชในน้าเกลือ ตราซีเล็คฟิตต์ 4 x","165 กรัม/แพ็ค","38.55","นัท 16 ก.ย. 2026"
"ทูน่ากระป๋อง","เนื้อสัตว์","g","GO","1","8852021707701","ซีเล็ค ฟิตต์ ทูน่าสเต็กในน้ำเกลือ 1,885 ก.","Piece","309","นัท 16 ก.ย. 2026"
"ปลาทูนึ่ง","เนื้อสัตว์","g","Freshket","1","","ปลาทูนึ่งแม่กลอง ขนาด 200-220 กรัม/แพ็ค","2 ตัว/แพ็ค","49","นัท 16 ก.ย. 2026"
"ปลาทูนึ่ง","เนื้อสัตว์","g","Freshket","2","","ปลาทูนึ่งแม่กลอง ขนาด 340-360 กรัม/แพ็ค","2 ตัว/แพ็ค","79","นัท 16 ก.ย. 2026"
"ปลาทูนึ่ง","เนื้อสัตว์","g","GO","1","2000100144923","ปลาทูนึ่ง 2 ตัว","PACK","79","นัท 16 ก.ย. 2026"
"ปลาทูสด","เนื้อสัตว์","g","Freshket","1","","ปลาทูสด ขนาด 5-6 ตัว/กก.","1 กก./แพ็ค","145","นัท 16 ก.ย. 2026"
"ถั่วฝักยาว","ผักลูก","g","Freshket","1","33196","ถัวฝักยาว","1 กก./แพ็ค","50","นัท 16 ก.ย. 2026"
"ถั่วฝักยาว","ผักลูก","g","Freshket","2","26214","ถัวฝักยาวเส้นผอมเรียว","500 กรัม/แพ็ค","52","นัท 16 ก.ย. 2026"
"ถั่วฝักยาว","ผักลูก","g","GO","1","2000100071212","ถั่วฝักยาว แพ็ค 500 ก.","PACK","39","นัท 16 ก.ย. 2026"
"แตงกวาญี่ปุ่น","ผักลูก","g","Freshket","1","34167","แตงกวาญี่ปุน","1 กก./แพ็ค","65","นัท 16 ก.ย. 2026"
"แตงกวาญี่ปุ่น","ผักลูก","g","GO","1","2000100076798","แตงกวาญี่ปุ่น 1 กก.","Kilogram","89","นัท 16 ก.ย. 2026"
"สาลี่","ผลไม้","g","Freshket","1","45120","สาลีน้าผึง","1 กก./แพ็ค","57","นัท 16 ก.ย. 2026"
"สาลี่","ผลไม้","g","GO","1","2000100144541","สาลี่ทอง 1 กก.","Kilogram","49","นัท 16 ก.ย. 2026"
