"ใช่ตัวเดียวกันไหม (ใช่/ไม่ใช่)","กี่ชื่อ","ยอดรวม","สั่งทุกกี่วัน","ชื่อทั้งหมดที่รวมไว้"
"","3","29248","3","Freshket: สันในหมู | GO: สันในหมู 1 กก. | Freshket: สันในหมู (แช่แข็ง)"
"","2","24430","3","GO: อกไก่เนื้อล้วนติดหนัง 1 กก. | Freshket: อกไก่ติดหนัง"
"","5","8584","7","GO: เอ ชอยซ์ ไข่ไก่คละ เบอร์ 3-4 มีฝา x 30 | GO: ไข่ไก่ คละเบอร์ 3-4 ไม่มีฝา 30 ฟอง x 5 | GO: ไข่ไก่ เบอร์ 3 ไม่มีฝา 30 ฟอง x 5 | Freshket: ไข่ไก่ เบอร์ 4 ไม่มีฝา 3 x | Freshket: ไข่ไก่ คละเบอร์ 3-4 ไม่มีฝา 3 x"
"","2","8409","7","Freshket: สะโพกไก่ | GO: สะโพกไก่ติดกระดูก 1 กก."
"","2","2875","70","GO: ปลาซาบะแล่แช่แข็ง 1 กก. x 10 | GO: ปลาซาบะแล่แช่แข็ง แพ็ค 1 กก."
"","2","2590","18","GO: เอ ชอยซ์ เห็ดแชมปิญองสไลด์แช่แข็ง 1 กก. | GO: เอ ชอยซ์ เห็ดแชมปิญองสไลด์แช่แข็ง 1 กก. x 10"
"","3","2505","5","GO: มะเขือเทศราชินี 1 กก. | Freshket: มะเขือเทศราชินีไทย | GO: มะเขือเทศราชินี ออร์แกนิค แพ็ค 300 ก."
"","3","2311","15","GO: กระเทียมจีน แกะกลีบคละไซส์ ยกกระสอบ 5 กก. | GO: กระเทียมจีน แกะกลีบคละไซส์ แพ็ค 1 กก. | Freshket: กระเทียมจีนปอกเปลือก"
"","5","2280","5","GO: พริกยักษ์สีแดง 1 กก. | GO: พริกยักษ์ 3 สี แพ็ค 6 ลูก | Freshket: พริกยักษ์ คละสี | GO: โครงการหลวง พริกยักษ์สีแดง แพ็ค 150 ก. | Freshket: พริกยักษ์ คละสี 3 ลูก/แพ็ค"
"","8","2261","4","GO: ผักชี ถุงใหญ่ 0.5-1.5 กก./แพ็ค | GO: ผักชีลาว แพ็ค 150 ก. | GO: ผักชี แพ็ค 150 ก. | GO: ผักชีฝรั่ง แพ็ค 150 ก. | Freshket: ผักชีไทยพร้อมราก | Freshket: ผักชีใบเลือย | GO: ผักชีฝรั่ง ออร์แกนิค แพ็ค 150 ก. | Freshket: ผักชีจีน"
"","2","2260","7","GO: แครอทนอก 1 ลัง | Freshket: แครอท"
"","5","2240","8","GO: หอมใหญ่นอก ยกกระสอบ 10 กก. | GO: หอมใหญ่นอก ยกกระสอบ 5 กก. | GO: หอมใหญ่ไทย แพ็ค 1 กก. | GO: หอมใหญ่ไทย 1 กระสอบ | GO: หอมใหญ่ไทย ยกกระสอบ 5 กก."
"","3","2232","19","GO: ปลาทูอินเดียแช่แข็ง ขนาด 4-6 ตัว/กก. แพ็ค 1 กก. x 10 | GO: ปลาทูอินเดียแช่แข็ง ขนาด 6-8 ตัว/กก. แพ็ค 1 กก. | GO: ปลาทูอินเดียแช่แข็ง ขนาด 4-6 ตัว/กก. แพ็ค 1 กก."
"","3","2068","7","GO: มันฝรั่งนอก 1 กก. | GO: มันฝรั่งนอก 1 ลัง | GO: มันฝรั่งนอก แพ็ค 1 กก."
"","3","1783","10","GO: ผักกาดขาวปลี ถุงใหญ่ 4.5-5.5 กก./แพ็ค | Freshket: ผักกาดขาว | GO: ผักกาดขาวปลี 1 กก."
"","5","1626","4","GO: แตงกวาญี่ปุ่น 1 กก. | GO: แตงกวา แพ็ค 500 ก. | Freshket: แตงกวาญี่ปุน | GO: แตงกวาญี่ปุ่น ถุงใหญ่ 2.5-3.5 กก./แพ็ค | Freshket: แตงกวาไทย"
"","3","1482","8","GO: มะเขือเทศท้อ ถุงใหญ่ 2.5-3.5 กก./แพ็ค | GO: มะเขือเทศท้อ 1 กก. | Freshket: มะเขือเทศท้อ"
"","3","1386","8","GO: หอมแดง มัดจุก แพ็ค 1 กก. | Freshket: หอมแดง ตัดจุก ไม่ปอกเปลือก | GO: หอมแดง ตัดจุก แพ็ค 1 กก."
"","2","1367","28","Freshket: ข้าว กข43 ตราฉัตรไลท์ 6 X | Freshket: ข้าว กข43 ตราฉัตรไลท์"
"","2","1261","5","GO: เห็ดออรินจินอก เล็ก แพ็ค 1 กก. | Freshket: เห็ดออรินจิ"
"","2","1239","14","GO: โฟร์โมสต์ นมยูเอชที รสจืด 1,000 มล. x 12 | Freshket: นมยูเอชที รสจืด ตราโฟร์โมสต์ 12 x"
"","3","1113","8","Freshket: หน่อไม้ฝรัง | GO: หน่อไม้ฝรั่งเขียว แพ็ค 300 ก. | GO: หน่อไม้ฝรั่ง ออร์แกนิค แพ็ค 300 ก."
"","2","938","20","GO: ปลาทูนึ่ง 2 ตัว | GO: ปลาทูนึ่ง 4 ตัว ขนาด 8-10 ตัว/กก. 1 แพ็ค"
"","4","915","5","GO: ต้นหอม แพ็ค 150 ก. | Freshket: ต้นหอมไทย คัดสวย | Freshket: ต้นหอมไทย | GO: ต้นหอมญี่ปุ่น 1 กก."
"","2","913","5","GO: ผักคอสนอก แพ็ค 500 ก. | GO: ผักคอสนอก ถุงใหญ่ 2 กก."
"","2","785","21","GO: เห็ดฟาง ดอกใหญ่ 1 กก. | Freshket: เห็ดฟาง ขนาดใหญ่"
"","2","781","32","Freshket: กุนเชียงหมู ตราเจ๊หงษ์ | Freshket: กุนเชียงหมู ตราเจ๊เล็ก"
"","3","756","12","Freshket: วุ้นเส้นแห้ง ตราต้นสน | GO: ต้นสน วุ้นเส้นแห้ง 500 ก. | GO: ต้นสน วุ้นเส้นแห้ง แบบม้วน 80 ก. x 10"
"","5","707","8","GO: พริกขี้หนูสวน แพ็ค 300 ก. | GO: พริกขี้หนูสวนเด็ดก้าน แพ็ค 100 ก. | GO: พริกขี้หนูสวน ถุงใหญ่ 0.5-1.5 กก./แพ็ค | Freshket: พริกขีหนูสวนกลาง คัดสวย | Freshket: พริกขีหนูสวน"
"","2","613","48","Freshket: ซีโครงหมูหันชิน | GO: ซี่โครงหมูหั่นชิ้น 1 กก."
"","3","607","7","GO: ถั่วฝักยาว แพ็ค 500 ก. | Freshket: ถัวฝักยาวเส้นผอมเรียว | Freshket: ถัวฝักยาว"
"","3","602","22","GO: ฟักทอง 3.5-4.5 กก./ลูก | Freshket: ฟักทองไทย 3.0-3.5 กก./ลูก | Freshket: ฟักทองญี่ปุน คัดขนาด 700-800 กรัม/ลูก"
"","3","541","11","GO: เลมอนนอก #88 1 ลูก | Freshket: มะนาวเลมอนนอก 1 ลูก/แพ็ค | Freshket: มะนาวเลมอนนอก 4 ลูก/แพ็ค"
"","2","527","18","GO: ไวไว เส้นหมี่กึ่งสำเร็จรูปอบแห้ง 2,700 ก. | GO: ไวไว เส้นหมี่กึ่งสำเร็จรูปอบแห้ง 500 ก. x 3"
"","3","520","15","Freshket: กะทิขวด ตราเรียลไทย 6 x | GO: อัมพวา กะทิแท้ 100% 250 มล. x 6 | Freshket: กะทิขวด ตราอัมพวา"
"","3","514","13","GO: เส้นเงิน แผ่นเกี๊ยวจีน 500 ก. | Freshket: แผ่นเกียวจีน ตราเส้นเงิน | GO: เส้นเงิน แผ่นเกี๊ยวจีน เจ 500 ก."
"","2","499","59","GO: เอ ชอยซ์ ถั่วลิสง 500 ก. x 10 | GO: เอ ชอยซ์ ถั่วลิสง 1,000 ก."
"","4","488","7","GO: ใบโหระพา แพ็ค 150 ก. | Freshket: โหระพา | GO: ใบโหระพา ถุงใหญ่ 0.5-1.5 กก./แพ็ค | GO: ใบโหระพาและใบกะเพรา แพ็ค 150 ก."
"","2","455","10","GO: กะหล่ำปลี 1 กก. | GO: กะหล่ำปลี ถุงใหญ่ 4.5-5.5 กก./แพ็ค"
"","3","403","7","GO: พริกขี้หนูแดง แพ็ค 300 ก. | GO: พริกขี้หนูแดง ถุงใหญ่ 0.5-1.5 กก./แพ็ค | GO: พริกขี้หนูแดง แพ็ค 100 ก."
"","2","379","15","GO: เอ ชอยซ์ ซอสหอยนางรม 5,000 ก. | GO: เอ ชอยซ์ ซอสหอยนางรม 1,000 ก."
"","3","374","13","Freshket: ผักกวางตุ้งไต้หวัน (ไทย) | GO: ผักกวางตุ้งไต้หวัน แพ็ค 300 ก. | GO: ผักกวางตุ้ง แพ็ค 300 ก."
"","4","364","10","GO: ข้าวโพดอ่อน แพ็ค 500 ก. | Freshket: ข้าวโพดอ่อนติดหมวก | Freshket: ข้าวโพดอ่อนติดหมวก คัดสวย | Freshket: ข้าวโพดอ่อนเปลือย"
"","2","344","13","Freshket: บวบเหลียม หันท่อน | GO: บวบเหลี่ยม 1 กก."
"","3","332","14","Freshket: พริกหนุ่ม | GO: พริกหนุ่ม ถุงใหญ่ 0.5-1.5 กก./แพ็ค | GO: พริกหนุ่ม แพ็ค 300 ก."
"","4","328","13","Freshket: ยอดคะน้าฮ่องกง | GO: คะน้า แพ็ค 300 ก. | GO: ยอดคะน้าฮ่องกง แพ็ค 500 ก. | Freshket: ยอดคะน้า คัดสวย"
"","3","323","11","GO: มะเขือเปราะ แพ็ค 500 ก. | Freshket: มะเขือเปราะ | Freshket: มะเขือเปราะ คัดสวย"
"","2","323","48","GO: ตับไก่ 1 กก. | Freshket: ตับไก่ ตราเบทาโกร (แช่แข็ง)"
"","2","316","","GO: ซุปเปอร์เซฟ ถุงขยะดำหนา 30 x 40 นิ้ว 1 กก. | GO: ซุปเปอร์เซฟ ถุงขยะดำหนา 36 x 45 นิ้ว 1 กก."
"","4","305","13","GO: ผักโขมจีน แพ็ค 300 ก. | Freshket: ผักโขมไทย คัดสวย | Freshket: ผักโขมจีน | Freshket: ผักโขมแบบบอล (แช่แข็ง)"
"","4","301","21","Freshket: หัวไชเท้า | GO: หัวไชเท้า ถุงใหญ่ 2.5-3.5 กก./แพ็ค | GO: หัวไชเท้า ถุงใหญ่ แพ็ค 3 กก. | GO: หัวไชเท้า 1 กก."
"","2","295","15","Freshket: ตําลึง คัดสวย | Freshket: ตําลึง"
"","3","285","15","GO: มะระจีน 1 กก. | Freshket: มะระจีน คัดสวย | Freshket: มะระจีน"
"","2","278","","GO: ซุปเปอร์เซฟ ถุงเย็น HDPE 6 x 9 นิ้ว บรรจุ 1 กก. | GO: ซุปเปอร์เซฟ ถุงเย็น HDPE 12 x 18 นิ้ว บรรจุ 1 กก."
"","3","250","14","GO: พริกชี้ฟ้าแดง แพ็ค 300 ก. | Freshket: พริกชีฟ้าแดง | GO: พริกชี้ฟ้าแดง แพ็ค 100 ก."
"","2","248","11","Freshket: พริกยักษ์แดง เบอร์รอง | Freshket: พริกยักษ์แดง"
"","4","247","15","GO: ถั่วงอก แพ็ค 1 กก. | Freshket: ถัวงอกเรียวยาว | Freshket: ถัวงอก ตราไผ่คู่ | GO: ถั่วงอกหัวโต 500 ก."
"","2","244","38","Freshket: แอปเปิลแดงฟูจิ 10 ลูก/แพ็ค | Freshket: แอปเปิลแดงฟูจิ เบอร์ 80 2 ลูก/แพ็ค"
"","2","228","6","GO: สลัดแก้วนอก 1 กก. | GO: ผักสลัดแก้ว ออร์แกนิค แพ็ค 200 ก."
"","2","228","12","GO: คาอิโซ เส้นแก้ว ชนิดเส้นเล็ก 300 ก. | GO: คาอิโซ เส้นแก้ว ชนิดเส้นเล็ก 1 กก."
"","3","226","17","GO: ขึ้นฉ่าย แพ็ค 150 ก. | GO: ขึ้นฉ่าย ถุงใหญ่ 0.5-1.5 กก./แพ็ค | GO: ขึ้นฉ่าย ออร์แกนิค แพ็ค 150 ก."
"","2","189","5","GO: ตรามือที่ 1 โรสแมรี่ 100 ก. | GO: เอลเอวิออน โรสแมรี่ 200 ก."
"","2","187","54","GO: เอ ชอยซ์ เมล็ดข้าวโพดหวานแช่แข็ง 1 กก. | Freshket: เมล็ดข้าวโพดหวาน (แช่แข็ง)"
"","2","177","14","GO: ตะไคร้ แพ็ค 500 ก. | Freshket: ตะไคร้พันธุ์เกษตร (สีขาว)"
"","2","175","2","Freshket: อโวคาโดพันธุ์แฮชสุก (นําเข้า) 1 ลูก/แพ็ค | Freshket: อโวคาโดพันธุ์แฮชสุก (นําเข้า) 2 ลูก/แพ็ค"
"","2","172","24","GO: สับปะรดศรีราชา 1 ลูก | GO: สับปะรดตราดสีทอง 1 ลูก"
"","2","171","2","Freshket: มะม่วงเปรียว (ตามฤดูกาล) คัดสวย | Freshket: มะม่วงเปรียว (ตามฤดูกาล)"
"","2","167","24","GO: ตรามือที่ 1 พาร์สลีย์ 50 ก. | GO: พาร์สลีย์ แพ็ค 200 ก."
"","3","160","25","Freshket: ข่าแก่ | GO: ข่าแก่ 1 กก. | Freshket: ข่าแก่ คัดสวย"
"","2","159","45","GO: ถั่วลันเตาหวานนอก แพ็ค 300 ก. | Freshket: ถัวลันเตาหวาน"
"","3","133","39","GO: พริกชี้ฟ้า แห้ง เด็ดก้าน 100 ก. | GO: พริกชี้ฟ้า แห้ง 100 ก. | Freshket: พริกชีฟ้าแห้ง (เด็ดก้าน)"
"","2","128","14","GO: พริกจินดา แห้ง เด็ดก้าน 100 ก. | GO: พริกจินดา แห้ง 100 ก."
"","2","113","13","GO: พริกไทยอ่อน แพ็ค 150 ก. | Freshket: พริกไทยอ่อน คัดสวย (เป็นพวงเต็มก้าน)"
