หมวด,ชื่อที่เราใช้,หน่วยนับ,ซื้อกี่ครั้ง,มีรูป,Freshket,Freshket ขนาด,Freshket ฿/กก.,GO,GO หน่วย,GO ฿/หน่วย,GO ฿/กก.,GO สั่งกี่ครั้ง,GO ยอดรวม
"เนื้อสัตว์","สันในหมู","g","96","มี","สันในหมู","1 กก./แพ็ค","157","สันในหมู 1 กก.","Kilogram","147","147","6","5810"
"เนื้อสัตว์","อกไก่","g","95","มี","อกไก่ติดหนัง","1 กก./แพ็ค","85","อกไก่เนื้อล้วนติดหนัง 1 กก.","Kilogram","84","84","20","13682"
"เนื้อสัตว์","สะโพกไก่","g","51","มี","สะโพกไก่","1 กก./แพ็ค","104","สะโพกไก่ติดกระดูก 1 กก.","Kilogram","103","103","6","4513"
"เนื้อสัตว์","ซี่โครงหมู","g","12","มี","","","","ซี่โครงหมูหั่นชิ้น 1 กก.","Kilogram","148","148","1","296"
"เนื้อสัตว์","ทูน่ากระป๋อง","g","24","มี","","","","ซีเล็ค ฟิตต์ ทูน่าสเต็กในน้ำเกลือ 1,885 ก.","Piece","309","","4","1598"
"เนื้อสัตว์","ไข่ไก่","ฟอง","16","มี","ไข่ไก่ คละเบอร์ 3-4 ไม่มีฝา 3 x","30 ฟอง/มัด","","เอ ชอยซ์ ไข่ไก่คละ เบอร์ 3-4 มีฝา x 30","Piece","119","","8","4525"
"เนื้อสัตว์","เนื้อบด","g","4","มี","","","","เนื้อวัวไทยบราห์มันบดแช่แข็ง CL70 1 กก. x 8","","","","",""
"เนื้อสัตว์","กระดูกหมู","g","2","มี","","","","กระดูกเล้งคอหมู 1 กก.","","","","",""
"เนื้อสัตว์","ปูอัด","g","3","มี","","","","คานิแฟมิลี่ ปูอัดแท่ง 500 ก.","PACK","105","","4","485"
"เนื้อสัตว์","ปลาทูนึ่ง","g","2","มี","","","","ปลาทูนึ่ง 2 ตัว","PACK","79","","2","869"
"เนื้อสัตว์","ปลาทูสด","g","","มี","","","","ปลาทูลัง 1 กก.","","","","",""
"ผักใบ","โหระพา","g","29","มี","โหระพา","500 กรัม/แพ็ค","","ใบโหระพา แพ็ค 150 ก.","PACK","15","","11","220"
"ผักใบ","ต้นหอม","g","17","มี","ต้นหอมไทย คัดสวย","250 กรัม/แพ็ค","","ต้นหอม แพ็ค 150 ก.","PACK","25","","17","589"
"ผักลูก","มะเขือเปราะ","g","27","มี","มะเขือเปราะ","1 กก./แพ็ค","35","มะเขือเปราะ แพ็ค 500 ก.","PACK","35","","5","243"
"ผักลูก","ถั่วฝักยาว","g","27","มี","","","","ถั่วฝักยาว แพ็ค 500 ก.","PACK","39","","8","320"
"ผักลูก","แตงกวาญี่ปุ่น","g","20","มี","","","","แตงกวาญี่ปุ่น 1 กก.","Kilogram","89","89","13","1067"
"ผักลูก","มะเขือเทศ","g","19","มี","มะเขือเทศราชินีไทย","1 กก./แพ็ค","120","มะเขือเทศราชินี 1 กก.","Kilogram","179","179","20","2022"
"ผักลูก","มะเขือเทศราชินี","g","19","มี","มะเขือเทศราชินีไทย","1 กก./แพ็ค","120","มะเขือเทศราชินี 1 กก.","Kilogram","179","179","20","2022"
"ผลไม้","สับปะรด","g","15","มี","สับปะรดปัตตาเวีย ขนาด 800-1,000 กรัม/ลูก 1 ลูก/แพ็ค","ลูก","","สับปะรดตราดสีทอง 1 ลูก","Piece","49","","2","94"
"ผลไม้","สาลี่","g","14","มี","","","","สาลี่ทอง 1 กก.","Kilogram","49","49","4","196"
"ผลไม้","บีทรูท","g","12","มี","บีทรูท","500 กรัม/แพ็ค","","","","","","",""
"พริก","พริกยักษ์","g","51","มี","พริกยักษ์ คละสี","1 กก./แพ็ค","120","พริกยักษ์สีแดง 1 กก.","Kilogram","129","129","7","903"
"พริก","พริกชี้ฟ้าเหลือง","g","12","มี","","","","","","","","",""
"พริก","พริกชี้ฟ้าเขียว","g","12","ไม่มี","","","","พริกชี้ฟ้าเขียว แพ็ค 300 ก.","PACK","29","","1","29"
"พริก","พริกชี้ฟ้าแดง","g","3","ไม่มี","","","","พริกชี้ฟ้าแดง แพ็ค 300 ก.","PACK","35","","5","169"
"พริก","พริกขี้หนู","g","11","มี","","","","พริกขี้หนูแดง แพ็ค 300 ก.","PACK","35","","9","325"
"ของแห้ง / แป้ง / แปรรูป","น้ำมันรำข้าว","g","27","มี","","","","คิง น้ำมันรำข้าว 5 ล.","Piece","345","69","9","3090"
"ของแห้ง / แป้ง / แปรรูป","แผ่นเกี๊ยวจีน","g","24","มี","","","","เส้นเงิน แผ่นเกี๊ยวจีน 500 ก.","PACK","44","","3","176"
"ของแห้ง / แป้ง / แปรรูป","วุ้นเส้น","g","14","มี","วุ้นเส้นแห้ง ตราต้นสน","500 กรัม/ห่อ","","ต้นสน วุ้นเส้นแห้ง แบบม้วน 80 ก. x 10","PACK","144","","2","288"
"ของแห้ง / แป้ง / แปรรูป","นมยูเอชที รสจืด","g","13","ไม่มี","นมยูเอชที รสจืด ตราโฟร์โมสต์ 12 x","1 ลิตร/กล่อง","53","โฟร์โมสต์ นมยูเอชที รสจืด 1,000 มล. x 12","Case","600","","1","600"
"ของแห้ง / แป้ง / แปรรูป","กะทิขวด","g","12","มี","กะทิขวด ตราอัมพวา","1 ลิตร/ขวด","79","","","","","",""
"ของแห้ง / แป้ง / แปรรูป","สาหร่ายทะเลย่าง","g","12","ไม่มี","สาหร่ายทะเลย่าง ตราทาเบรุ","105 กรัม/แพ็ค","","","","","","",""
"ของแห้ง / แป้ง / แปรรูป","เครื่องแกงกะหรี่","g","13","ไม่มี","","","","","","","","",""
"ของแห้ง / แป้ง / แปรรูป","tabasco","g","2","ไม่มี","","","","","","","","",""
"ของแห้ง / แป้ง / แปรรูป","เส้นบุก","g","2","มี","","","","","","","","",""
"ยังไม่จัดหมวด (รอนัทจัด)","อโวคาโด","g","50","มี","อโวคาโดพันธุ์แฮชสุก (นําเข้า) 2 ลูก/แพ็ค","ลูก","","","","","","",""
"ยังไม่จัดหมวด (รอนัทจัด)","หน่อไม้ฝรั่ง","g","40","มี","","","","หน่อไม้ฝรั่งเขียว แพ็ค 300 ก.","Piece","65","","2","120"
"ยังไม่จัดหมวด (รอนัทจัด)","เต้าหู้ขาว","g","27","ไม่มี","เต้าหู้ขาวก้อนแข็ง 220-250 กรัม/ก้อน","ก้อน","","คุณเฮง เต้าหู้ขาวแข็ง 150 ก.","PACK","27","","2","270"
"ยังไม่จัดหมวด (รอนัทจัด)","กวางตุ้ง","g","26","มี","ผักกวางตุ้งไต้หวัน (ไทย)","1 กก./แพ็ค","35","ผักกวางตุ้งไต้หวัน แพ็ค 300 ก.","Piece","25","","3","125"
"ยังไม่จัดหมวด (รอนัทจัด)","หอมใหญ่","g","16","มี","","","","หอมใหญ่นอก ยกกระสอบ 10 กก.","Sack","270","27","4","1040"
"ยังไม่จัดหมวด (รอนัทจัด)","ผักคอส","g","16","มี","คอส (นําเข้า)","1 กก./แพ็ค","75","ผักคอสนอก แพ็ค 500 ก.","Piece","39","","13","663"
"ยังไม่จัดหมวด (รอนัทจัด)","มันฝรั่ง","g","15","มี","","","","มันฝรั่งนอก 1 ลัง","Case","350","","4","1310"
"ยังไม่จัดหมวด (รอนัทจัด)","ข้าวโพดอ่อน","g","15","มี","ข้าวโพดอ่อนติดหมวก คัดสวย","500 กรัม/แพ็ค","","ข้าวโพดอ่อน แพ็ค 500 ก.","PACK","29","","4","116"
"ยังไม่จัดหมวด (รอนัทจัด)","ถั่วงอก","g","14","มี","","","","ถั่วงอกหัวโต 500 ก.","Piece","85","","1","85"
"ยังไม่จัดหมวด (รอนัทจัด)","ซูกินี","g","14","มี","ซูกินีไทย","500 กรัม/แพ็ค","","","","","","",""
"ยังไม่จัดหมวด (รอนัทจัด)","ฟักทองญี่ปุ่น","g","13","มี","","","","","","","","",""
"ยังไม่จัดหมวด (รอนัทจัด)","กะหล่ำปลี","g","13","มี","","","","กะหล่ำปลี 1 กก.","Kilogram","25","25","5","140"
"ยังไม่จัดหมวด (รอนัทจัด)","ฟักทองไทย","g","13","มี","ฟักทองไทย 3.0-3.5 กก./ลูก","กิโลกรัม","","","","","","",""
