บาร์โค้ด,สินค้า GO,หน่วย,สั่งกี่ครั้ง,ราคาต่อหน่วย,ยอดรวม
2000100113530,"แอตแลนติกแซลมอนแล่แช่แข็ง (TRIM-C) 1 กก.",Kilogram,5,469,18138
2000100164402,"บรอกโคลีนอก 1 ลัง",Case,15,450,6830
2000100167427,"โคโฮแซลมอนแล่แช่แข็ง (Trim-C) 0.8-2.0 กก./แพ็ค",Pack,1,430,6020
2000100189382,"เนื้อแดงวัวบด 1 กก.",Kilogram,6,255,3770
8851042805052,"แสนดี ข้าวไรซ์เบอร์รี่ 100% 5 กก.",Piece,3,329,3708
8852043355881,"ไข่ไก่ คละเบอร์ 3-4 ไม่มีฝา 30 ฟอง x 5",PACK,5,545,2705
8852022090192,"คิวพี มายองเนส สูตรไม่มีน้ำตาล 1 กก.",Piece,7,160,2480
9555615900005,"มิชชั่น แผ่นแป้งรสดั้งเดิม 360 ก.",Piece,3,115,2300
2000100046111,"ปลาซาบะแล่แช่แข็ง 1 กก. x 10",Case,1,2200,2200
2000100045299,"เอ ชอยซ์ เนื้อทูน่าซากุ 1 กก.",Kilogram,1,649,1947
8859786400526,"เอ ชอยซ์ เห็ดแชมปิญองสไลด์แช่แข็ง 1 กก. x 10",Case,2,850,1700
8859786400755,"เอ ชอยซ์ น้ำมะนาวแช่แข็ง พันธุ์แป้น 1 กก.",Piece,4,119,1650
2000100046296,"เนื้อทูน่าซากุแช่แข็ง ขนาด 500 ก.",PACK,1,320,1600
8857104140284,"เคซีเอฟ ไข่แดงเค็ม x 25",PACK,5,209,1493
2000100046159,"ปลาทูอินเดียแช่แข็ง ขนาด 4-6 ตัว/กก. แพ็ค 1 กก. x 10",Case,1,1250,1250
2000100081884,"มะเขือเทศท้อ ถุงใหญ่ 2.5-3.5 กก./แพ็ค",Pack,12,39,1191
8859786400519,"เอ ชอยซ์ เห็ดแชมปิญองสไลด์แช่แข็ง 1 กก.",Piece,3,89,890
2200000002303,"ออร์คิด เนยเพียวบัตเตอร์จืด 2 กก.",Piece,1,798,798
8859069900026,"จริงใจ แปะก๊วยต้มสุกในน้ำเชื่อม 500 ก.",PACK,4,85,765
8801039006313,"แฮเพียว เลเวอร์ ซีซามี ออยล์ สาหร่ายอบแห้งปรุงรส รสน้ำมันงา 4 ก. x 16",Piece,3,159,689
8850206011711,"เด็กสมบูรณ์ ซีอิ๊วขาว สูตร 1 4,500 มล.",Piece,3,229,677
2000100046104,"ปลาซาบะแล่แช่แข็ง แพ็ค 1 กก.",PACK,1,225,675
2000100075845,"เห็ดฟาง ดอกใหญ่ 1 กก.",Kilogram,3,215,645
2000100072905,"มันฝรั่งนอก 1 กก.",Kilogram,4,39,598
2000100073254,"พริกยักษ์ 3 สี แพ็ค 6 ลูก",PACK,5,109,595
2000100046166,"ปลาทูอินเดียแช่แข็ง ขนาด 6-8 ตัว/กก. แพ็ค 1 กก.",PACK,1,119,595
2000100078853,"เผือก ถุงใหญ่ 9.5-10.5 กก./แพ็ค",Pack,1,59,590
8854215006027,"เอ ชอยซ์ ถุงมือพลาสติกอเนกประสงค์ x 100",PACK,3,65,585
8852043355805,"ไข่ไก่ เบอร์ 3 ไม่มีฝา 30 ฟอง x 5",PACK,1,580,580
8850144900283,"เบสท์ฟู้ดส์ สปาเก็ตตี้ 1 กก.",Piece,2,125,553
2000100208632,"กระเทียมจีน แกะกลีบใหญ่ ยกกระสอบ 5 กก.",Sack,2,275,550
2000100165256,"ขนมปังอาทิซาน ซาวโดวจ์ 300 ก.",Piece,4,49,490
8006165400947,"คาซา รินัลดิ น้ำมันมะกอกธรรมชาติ เอ็กซ์ตร้าเวอร์จิ้น 1 ล.",Piece,1,490,490
8852716705067,"แวลู แพ็ค เม็ดมะม่วงหิมพานต์ดิบชนิดหักท่อน LP 1 กก.",Piece,2,225,450
8854579004745,"โกริโกะ สาหร่ายแผ่น เกรดเอ 115 ก.",Piece,2,220,440
8850969384275,"โปรเซฟ ผลิตภัณฑ์ล้างจาน 10 ล.",Piece,1,215,430
8859786403183,"เอ ชอยซ์ เห็ดหอม แห้ง ดอกเล็ก 500 ก.",Piece,1,210,420
2000100214015,"เอ ชอยซ์ ถั่วลิสง 500 ก. x 10",Piece,1,405,405
8850269020750,"บ้านไผ่ กุนเชียงเชือกฟ้า 125 ก. x 3",PACK,1,135,405
8853026003966,"เอ ชอยซ์ ซอส โชยุ 1 ล.",Piece,3,64,390
2000100046142,"ปลาทูอินเดียแช่แข็ง ขนาด 4-6 ตัว/กก. แพ็ค 1 กก.",PACK,1,129,387
8853863000043,"ซุปเปอร์เซฟ ถาดฟอยล์เหลี่ยม พร้อมฝาเบอร์ 4432-P 230 มล. x 10",PACK,2,48,384
0737483778088,"ทรีเลดี้ แผ่นแป้งปอเปี๊ยะเวียดนามวงกลม 22 ซม. 340 ก.",Piece,2,75,366
2200000001221,"ไทยเดนมาร์ค นมโคยูเอชที รสจืด 180 มล. x 36",Case,1,358,358
8850180068022,"ตราชั่ง กะปิ 185 ก. x 6",PACK,1,355,355
8854579007074,"เอชอยซ์ สาหร่ายวากาเมะ 220 ก.",Piece,2,175,353
8850114445004,"คนแบกกุ้ง น้ำปลา 4,500 มล.",Piece,2,173,346
0011210000155,"ทาบาสโก ซอส เรดเปปเปอร์ 150 มล.",Piece,2,176,345
2000100184264,"เนื้อลูกมะพร้าววัวออสเตรเลียบด ขนาด 300-500 ก./แพ็ค",Pack,1,415,332
8852943003233,"เอ ชอยซ์ ข้าวเหนียว 5 กก.",Piece,1,165,330
8852832001890,"โปรเซฟ ผงซักฟอก 3,000 ก.",Piece,2,109,327
8850100208033,"ไวไว เส้นหมี่กึ่งสำเร็จรูปอบแห้ง 2,700 ก.",Piece,2,172,327
2000100077320,"กะหล่ำปลี ถุงใหญ่ 4.5-5.5 กก./แพ็ค",Pack,3,19,315
8859099440455,"ซุปเปอร์เซฟ ฟิล์มยืดหุ้มห่ออาหาร 10 นิ้ว x 500 ม.",Piece,1,305,305
2000100213858,"เอ ชอยซ์ งาดำ 500 ก.",Piece,2,75,300
8850885044925,"ตรามือที่ 1 พริกไทยดำ ป่น 500 ก.",Piece,1,299,299
2000100072998,"มันหวานสายพันธุ์ญี่ปุ่น สีเหลือง 1 กก.",Kilogram,3,99,297
8857129337249,"เอ ชอยซ์ ซอสมะเขือเทศ 5,000 ก.",Piece,2,155,295
2000100080283,"เครื่องต้มยำ แพ็ค 300 ก.",PACK,5,59,295
8858661103026,"โมคิ บุกเส้นกลม 2 กก.",PACK,2,147,294
8001200139035,"แอคเนซี พาสต้า สปาเก็ตตี้ เบอร์ 3 500 ก.",Piece,1,71,284
2000100080597,"พริกขี้หนูสวน แพ็ค 300 ก.",PACK,6,55,278
8858915001504,"บาบู ควีนัว 3 สี 450 ก.",Piece,1,275,275
8859411302454,"ซุปเปอร์เซฟ กระดาษอเนกประสงค์ 2 ชั้น แพ็ค 6+2",PACK,2,135,270
2000100213827,"เอ ชอยซ์ งาขาว 500 ก.",Piece,2,67,268
8851042001058,"แสนดี ข้าวหอมมะลิ 100% 5 กก.",Piece,1,132,264
2000100078501,"ฟักทอง 3.5-4.5 กก./ลูก",Piece,3,29,260
8850468831171,"คิงมารีนฟู้ดส์ ไข่ปลาเคปปลินเอบิโกะปรุงรสสีส้มแช่แข็ง 500 ก.",PACK,1,255,255
8857129337256,"เอ ชอยซ์ ซอสหอยนางรม 5,000 ก.",Piece,2,119,254
2000100028797,"เม็ดบัว แห้ง 500 ก.",Piece,1,250,250
2000100169629,"ผักคอสนอก ถุงใหญ่ 2 กก.",Piece,2,125,250
8018440000872,"ลูยจลิโอ น้ำมันมะกอกบริสุทธิ์ 1 ล.",Piece,1,250,250
8850372000069,"ต้นสน วุ้นเส้นแห้ง 500 ก.",Piece,2,79,241
