"ชื่อที่เราใช้","ชื่อใน Freshket","ชื่อใน GO","ข้อควรรู้","ไม่ใช่ตัวนี้","ยืนยันโดย"
"ปลาทูสด","ปลาทูสด ขนาด 5-6 ตัว/กก.","ปลาทูอินเดียแช่แข็ง ขนาด 6-8 ตัว/กก. แพ็ค 1 กก.","นัท: GO เรียก ""ปลาทูอินเดียแช่แข็ง"" = ปลาทูสดตัวเดียวกัน","","นัท 16 ก.ย. 2026"
"สาลี่","สาลีน้าผึง","สาลี่ทอง 1 กก.","","แป้งสาลีอเนกประสงค์ ตราว่าว","นัท 16 ก.ย. 2026"
"กระดูกหมู","กระดูกซุปหมูหั่นชิ้น (เล้ง)","กระดูกซุปหมู 1 กก.","","กระดูกขาตั๊ง/กระดูกคาตั๊งหมู · กระดูกข้อขาหมู 1 กก.","นัท 16 ก.ย. 2026"
"พริกชี้ฟ้าเหลือง","พริกชีฟ้าเหลือง (เด็ดก้าน)","— ยังไม่มีในข้อมูล","นัท: GO ก็มีขาย แต่ยังไม่เคยสั่ง → ยังไม่มีชื่อในข้อมูล","","นัท 16 ก.ย. 2026"
"พริกชี้ฟ้าเขียว","พริกชีฟ้าเขียว","พริกชี้ฟ้าเขียว แพ็ค 300 ก.","นัท: ได้ทุกขนาด ซื้ออันที่ถูกสุดตอนสั่ง","","นัท 16 ก.ย. 2026"
"พริกชี้ฟ้าแดง","พริกชีฟ้าแดง","พริกชี้ฟ้าแดง แพ็ค 300 ก.","นัท: ได้ทุกขนาด ซื้ออันที่ถูกสุดตอนสั่ง","","นัท 16 ก.ย. 2026"
"พริกขี้หนู","พริกจินดาแดง","พริกขี้หนูแดง แพ็ค 300 ก.","ขี้หนูธรรมดา = Freshket เรียก ""พริกจินดา"" · GO เรียก ""พริกขี้หนูแดง"" · คนละตัวกับขี้หนูสวน","พริกขีหนูสวน (คนละตัว — ดูพริกขี้หนูสวน)","นัท 16 ก.ย. 2026"
"น้ำมันรำข้าว","— ยังไม่มีในข้อมูล","คิง น้ำมันรำข้าว 5 ล.","นัท: Freshket ก็มีขาย แต่ยังไม่เคยสั่ง → ยังไม่มีชื่อในข้อมูล","","นัท 16 ก.ย. 2026"
"กะทิ","กะทิขวด ตราอัมพวา","อัมพวา กะทิแท้ 100% Prisma 1 ล.","นัท: ได้ทุกแบบ เสนอตัวที่ราคาต่อกรัมถูกสุด (หลักการสั่งอัตโนมัติยังคิดไม่เสร็จ — อาจคิดอายุเก็บด้วย)","","นัท 16 ก.ย. 2026"
"สาหร่ายทะเลย่าง","สาหร่ายทะเลย่าง ตราทาเบรุ","— ยังไม่มีในข้อมูล","นัท: GO ก็มี แต่ยังไม่มีชื่อในข้อมูล","","นัท 16 ก.ย. 2026"
"ทาบาสโก้","— ยังไม่มีในข้อมูล","ทาบาสโก ซอส เรดเปปเปอร์ 150 มล.","Freshket ยังไม่เจอในข้อมูล","","นัท 16 ก.ย. 2026"
"เส้นบุก","— ยังไม่มีในข้อมูล","โมคิ บุกเส้นกลม 2 กก.","นัท: Freshket ก็มี — ต้องไปค้นในเว็บ ยังไม่มีชื่อ","","นัท 16 ก.ย. 2026"
"อโวคาโด","อโวคาโดพันธุ์แฮชสุก (นําเข้า) 2 ลูก/แพ็ค","— ยังไม่มีในข้อมูล","นัท: สั่ง Freshket เท่านั้น","","นัท 16 ก.ย. 2026"
"หอมใหญ่","หอมหัวใหญ่","หอมใหญ่ไทย แพ็ค 1 กก.","นัท: ได้ทุกตัว","","นัท 16 ก.ย. 2026"
"มันฝรั่ง","— ยังไม่มีในข้อมูล","มันฝรั่งนอก 1 กก.","นัท: Freshket ก็มี — ต้องไปค้นในเว็บ ยังไม่มีชื่อ","","นัท 16 ก.ย. 2026"
"ซูกินี","ซูกินีไทย","— ยังไม่มีในข้อมูล","นัท: GO ก็มี — ยังไม่มีชื่อในข้อมูล","","นัท 16 ก.ย. 2026"
"ฟักทองญี่ปุ่น","ฟักทองญี่ปุน คัดขนาด 700-800 กรัม/ลูก","— ยังไม่มีในข้อมูล","นัท: GO ที่เสนอ (ฟักทอง 3.5-4.5 กก.) ผิด — ไม่ใช่ฟักทองญี่ปุ่น","","นัท 16 ก.ย. 2026"
"ตำลึง","— ยังไม่มีในข้อมูล","ตำลึง แพ็ค 150 ก.","นัท: Freshket ก็มี — ยังไม่มีชื่อในข้อมูล","","นัท 16 ก.ย. 2026"
"ใบกะเพรา","— ยังไม่มีในข้อมูล","ใบกะเพรา แพ็ค 150 ก.","นัท: Freshket ก็มี หลายขนาด — ยังไม่มีชื่อในข้อมูล","","นัท 16 ก.ย. 2026"
