"วัตถุดิบ","ทุกกี่วัน","สั่งกี่วัน","ร้าน","ยอดรวม","กี่ชื่อ","ล่าสุด","ชื่อทั้งหมด"
"มิชชั่น แผ่นแป้งรสดั้งเดิม 360 ก.","2","3","GO","2300","1","2026-06-04","GO: มิชชั่น แผ่นแป้งรสดั้งเดิม 360 ก."
"กระเทียมจีน แกะกลีบใหญ่ ยกกระสอบ 5 กก.","2","2","GO","550","1","2026-06-27","GO: กระเทียมจีน แกะกลีบใหญ่ ยกกระสอบ 5 กก."
"ซุปเปอร์เซฟ ถาดฟอยล์เหลี่ยม พร้อมฝาเบอร์ 4432-P 230 มล. x 10","2","2","GO","384","1","2026-08-02","GO: ซุปเปอร์เซฟ ถาดฟอยล์เหลี่ยม พร้อมฝาเบอร์ 4432-P 230 มล. x 10"
"อโวคาโดพันธุ์แฮชสุก (นําเข้า) 1 ลูก/แพ็ค","2","2","Freshket","175","2","2026-08-20","Freshket: อโวคาโดพันธุ์แฮชสุก (นําเข้า) 1 ลูก/แพ็ค | Freshket: อโวคาโดพันธุ์แฮชสุก (นําเข้า) 2 ลูก/แพ็ค"
"มะม่วงเปรียว (ตามฤดูกาล) คัดสวย","2","2","Freshket","171","2","2026-09-05","Freshket: มะม่วงเปรียว (ตามฤดูกาล) คัดสวย | Freshket: มะม่วงเปรียว (ตามฤดูกาล)"
"โครงการหลวง ผักสลัดแก้ว แพ็ค 300 ก.","2","2","GO","140","1","2026-07-09","GO: โครงการหลวง ผักสลัดแก้ว แพ็ค 300 ก."
"สันในหมู","3","31","Freshket+GO","29248","3","2026-09-16","Freshket: สันในหมู | GO: สันในหมู 1 กก. | Freshket: สันในหมู (แช่แข็ง)"
"อกไก่เนื้อล้วนติดหนัง 1 กก.","3","34","GO+Freshket","24430","2","2026-09-16","GO: อกไก่เนื้อล้วนติดหนัง 1 กก. | Freshket: อกไก่ติดหนัง"
"มันเทศเนือเหลืองไทย","3","2","Freshket","260","1","2026-09-09","Freshket: มันเทศเนือเหลืองไทย"
"เจ้ควิก เต้าหู้ขาว 180 ก.","3","3","GO","126","1","2026-07-27","GO: เจ้ควิก เต้าหู้ขาว 180 ก."
"ผักชี ถุงใหญ่ 0.5-1.5 กก./แพ็ค","4","27","GO+Freshket","2261","8","2026-09-16","GO: ผักชี ถุงใหญ่ 0.5-1.5 กก./แพ็ค | GO: ผักชีลาว แพ็ค 150 ก. | GO: ผักชี แพ็ค 150 ก. | GO: ผักชีฝรั่ง แพ็ค 150 ก. | Freshket: ผักชีไทยพร้อมราก | Freshket: ผักชีใบเลือย | GO: ผักชีฝรั่ง ออร์แกนิค แพ็ค 150 ก. | Freshket: ผักชีจีน"
"แตงกวาญี่ปุ่น 1 กก.","4","21","GO+Freshket","1626","5","2026-09-01","GO: แตงกวาญี่ปุ่น 1 กก. | GO: แตงกวา แพ็ค 500 ก. | Freshket: แตงกวาญี่ปุน | GO: แตงกวาญี่ปุ่น ถุงใหญ่ 2.5-3.5 กก./แพ็ค | Freshket: แตงกวาไทย"
"ดอกกะหล่ำขาวจีน 1 กก.","4","17","GO","1128","1","2026-08-06","GO: ดอกกะหล่ำขาวจีน 1 กก."
"ใบกะเพรา แพ็ค 150 ก.","4","5","GO","106","1","2026-08-04","GO: ใบกะเพรา แพ็ค 150 ก."
"มะเขือเทศราชินี 1 กก.","5","23","GO+Freshket","2505","3","2026-09-15","GO: มะเขือเทศราชินี 1 กก. | Freshket: มะเขือเทศราชินีไทย | GO: มะเขือเทศราชินี ออร์แกนิค แพ็ค 300 ก."
"พริกยักษ์สีแดง 1 กก.","5","20","GO+Freshket","2280","5","2026-09-12","GO: พริกยักษ์สีแดง 1 กก. | GO: พริกยักษ์ 3 สี แพ็ค 6 ลูก | Freshket: พริกยักษ์ คละสี | GO: โครงการหลวง พริกยักษ์สีแดง แพ็ค 150 ก. | Freshket: พริกยักษ์ คละสี 3 ลูก/แพ็ค"
"เห็ดออรินจินอก เล็ก แพ็ค 1 กก.","5","22","GO+Freshket","1261","2","2026-09-15","GO: เห็ดออรินจินอก เล็ก แพ็ค 1 กก. | Freshket: เห็ดออรินจิ"
"ต้นหอม แพ็ค 150 ก.","5","23","GO+Freshket","915","4","2026-09-15","GO: ต้นหอม แพ็ค 150 ก. | Freshket: ต้นหอมไทย คัดสวย | Freshket: ต้นหอมไทย | GO: ต้นหอมญี่ปุ่น 1 กก."
"ผักคอสนอก แพ็ค 500 ก.","5","14","GO","913","2","2026-08-04","GO: ผักคอสนอก แพ็ค 500 ก. | GO: ผักคอสนอก ถุงใหญ่ 2 กก."
"เบสท์ฟู้ดส์ สปาเก็ตตี้ 1 กก.","5","2","GO","553","1","2026-07-04","GO: เบสท์ฟู้ดส์ สปาเก็ตตี้ 1 กก."
"เครื่องต้มยำ แพ็ค 300 ก.","5","4","GO","295","1","2026-07-25","GO: เครื่องต้มยำ แพ็ค 300 ก."
"เห็ดชิเมจิดำ แพ็ค 1 กก.","5","4","GO","241","1","2026-06-20","GO: เห็ดชิเมจิดำ แพ็ค 1 กก."
"เห็ดออรินจินอก ใหญ่ แพ็ค 1 กก.","5","3","GO","196","1","2026-06-06","GO: เห็ดออรินจินอก ใหญ่ แพ็ค 1 กก."
"ตรามือที่ 1 โรสแมรี่ 100 ก.","5","2","GO","189","2","2026-08-11","GO: ตรามือที่ 1 โรสแมรี่ 100 ก. | GO: เอลเอวิออน โรสแมรี่ 200 ก."
"บรอกโคลีนอก 1 ลัง","6","14","GO","6830","1","2026-08-10","GO: บรอกโคลีนอก 1 ลัง"
"โกริโกะ สาหร่ายแผ่น เกรดเอ 115 ก.","6","2","GO","440","1","2026-07-11","GO: โกริโกะ สาหร่ายแผ่น เกรดเอ 115 ก."
"โปรเซฟ ผงซักฟอก 3,000 ก.","6","2","GO","327","1","2026-06-09","GO: โปรเซฟ ผงซักฟอก 3,000 ก."
"สลัดแก้วนอก 1 กก.","6","3","GO","228","2","2026-08-10","GO: สลัดแก้วนอก 1 กก. | GO: ผักสลัดแก้ว ออร์แกนิค แพ็ค 200 ก."
"เอ ชอยซ์ ไข่ไก่คละ เบอร์ 3-4 มีฝา x 30","7","16","GO+Freshket","8584","5","2026-09-09","GO: เอ ชอยซ์ ไข่ไก่คละ เบอร์ 3-4 มีฝา x 30 | GO: ไข่ไก่ คละเบอร์ 3-4 ไม่มีฝา 30 ฟอง x 5 | GO: ไข่ไก่ เบอร์ 3 ไม่มีฝา 30 ฟอง x 5 | Freshket: ไข่ไก่ เบอร์ 4 ไม่มีฝา 3 x | Freshket: ไข่ไก่ คละเบอร์ 3-4 ไม่มีฝา 3 x"
"สะโพกไก่","7","13","Freshket+GO","8409","2","2026-09-07","Freshket: สะโพกไก่ | GO: สะโพกไก่ติดกระดูก 1 กก."
