"รหัส","ชื่อเมนู","สถานะรูป","ไฟล์ที่ใช้","ต้องทำ"
"J01","หมูสับเจปั้นก้อน ราดซอสลุยสวน + เส้นหมี่","✅ แต่งแล้ว","J01_หมูสับเจปั้นก้อนซอสลุยสวน_a.png","มี 3 เวอร์ชัน เลือก 1"
"J02","ข้าวหมูสับเจตุ๋นเห็ดหอม สไตล์ไต้หวัน (Lu Rou Fan) + ผักดองไต้หวัน","❌ ไม่มีรูป","-","ถ่าย 20 ก.ย."
"J03","ข้าวเห็ดแชมปิญองผัดพริกเหลืองโหระพา","🟡 มีรูป ยังไม่แต่ง","J03_ข้าวเห็ดแชมปิญองผัดพริกเหลืองโหระพา.jpg","นัทแต่งฉากขาว"
"J04","เครปมันม่วง เต้าหู้ผัดไชโป้วทรงเครื่อง","✅ แต่งแล้ว","J04_เครปมันม่วงไชโป้ว_a.png","มี 2 เวอร์ชัน เลือก 1"
"J05","เบนโตะเจ ผักรวม 4 ช่อง","✅ แต่งแล้ว","J05_เบนโตะเจผักรวม_a.png","มี 2 เวอร์ชัน เลือก 1"
"J06","เส้นหมี่ก๋วยเตี๋ยวหลอด เห็ดหอมเต้าหู้ทรงเครื่อง","❌ ไม่มีรูป","-","ถ่าย 20 ก.ย."
"J07","ข้าวเต้าหู้ทอดยัดไส้วุ้นเส้น ต้มซีอิ๊วญี่ปุ่น","✅ แต่งแล้ว","J07_เต้าหู้ทอดยัดไส้วุ้นเส้น_a.png","-"
"J08","ข้าวยำเกาหลี เครื่องแน่นจุก","✅ แต่งแล้ว","J08_ข้าวยำเกาหลี_a.png","มี 2 เวอร์ชัน เลือก 1"
"J09","ข้าวแกงเผ็ดเห็ดรวม ฟองเต้าหู้","❌ ไม่มีรูป","-","ถ่าย 20 ก.ย."
"J10","เกี๊ยวแห้งเห็ด + น้ำจิ้มซีฟู้ดเจ","❌ ไม่มีรูป","-","ถ่าย 20 ก.ย."
"J11","โอเด้งฟองเต้าหู้ เต้าหู้แข็ง","✅ แต่งแล้ว","J11_โอเด้งฟองเต้าหู้_a.png","มี 6 เวอร์ชัน เลือก 1"
"J12","พาสต้าครีมซอสเห็ดแชมปิญอง","✅ แต่งแล้ว","J12_พาสต้าครีมซอสเห็ดแชมปิญอง_a.png","มี 2 เวอร์ชัน เลือก 1"
"J13","เพนเน่หมูสับจำแลง ผัดซอสมะเขือเทศ","✅ แต่งแล้ว","J13_เพนเน่หมูสับจำแลงซอสมะเขือเทศ_a.png","-"
"J14","ข้าวเต้าหู้ย่างซอสเทริยากิ + ซุปมิโสะ","❌ ไม่มีรูป","-","ถ่าย 20 ก.ย."
"J15","เส้นหมี่ผักลูกชิ้นเห็ดต้มยำ","✅ แต่งแล้ว","J15_เส้นหมี่ผักลูกชิ้นเห็ดต้มยำ_a.png","-"
"J16","หมี่คลุก + ลูกชิ้นแคะเจ พร้อมซุป","✅ แต่งแล้ว","J16_หมี่คลุกลูกชิ้นแคะเจ_a.png","มี 8 เวอร์ชัน เลือก 1"
"J17","ข้าวคลุกคีนัว สเต็กเต้าหู้ผักย่าง","✅ แต่งแล้ว","J17_ข้าวคลุกคีนัวสเต็กเต้าหู้_a.png","มี 2 เวอร์ชัน เลือก 1"
"J18","ข้าวอบสาหร่าย เต้าหู้ย่างสไตล์ญี่ปุ่น","✅ แต่งแล้ว","J18_ข้าวอบสาหร่ายเต้าหู้ย่างญี่ปุ่น_a.png","มี 2 เวอร์ชัน เลือก 1"
"J19","ข้าวผัดกิมจิ เต้าหู้ย่าง","❌ ไม่มีรูป","-","ถ่าย 20 ก.ย."
"J20","ข้าวเต้าหู้ผัดพริกไทยดำ เห็ดฟาง","❌ ไม่มีรูป","-","ถ่าย 20 ก.ย."
"J21","ข้าวผัดต้มยำหมูสับเจ เต้าหู้ย่างสไลด์ ราดซอสต้มยำ","✅ แต่งแล้ว","J21_ข้าวผัดต้มยำหมูสับเจเต้าหู้ย่าง_a.png","มี 3 เวอร์ชัน เลือก 1"
"J22","ปอเปี๊ยะทอด (ย่าง) เวียดนาม","✅ แต่งแล้ว","J22_ปอเปี๊ยะทอดเวียดนาม_a.png","มี 2 เวอร์ชัน เลือก 1"
