code,name,price,tier,round,delivery_date,eat_days,note
J01,หมูสับเจปั้นก้อน ราดซอสลุยสวน + เส้นหมี่,175,T2,1,2026-10-08,9-10-11 ต.ค.,คะแนนอันดับ 1 · 📷 มีรูปแล้ว
J02,ข้าวหมูสับเจตุ๋นเห็ดหอม สไตล์ไต้หวัน (Lu Rou Fan) + ผักดองไต้หวัน,175,T2,1,2026-10-08,9-10-11 ต.ค.,⭐ เมนูใหม่ ตัวชูโรง · 🆕 เมนูใหม่ · 🎬 ถ่าย 20 ก.ย.
J03,ข้าวเห็ดแชมปิญองผัดพริกเหลืองโหระพา,175,T2,1,2026-10-08,9-10-11 ต.ค.,ต้องเติมเต้าหู้/แพลนท์เบส · 🎬 ถ่าย 20 ก.ย. (ไม่มีรูปเก่า)
J04,เครปมันม่วง เต้าหู้ผัดไชโป้วทรงเครื่อง,175,T2,1,2026-10-08,9-10-11 ต.ค.,แป้งเครปต้องไม่มีนม/ไข่ · 📷 มีรูปแล้ว
J05,เบนโตะเจ ผักรวม 4 ช่อง,175,T2,1,2026-10-08,9-10-11 ต.ค.,ตรวจว่ามีโปรตีนพอไหม · 📷 มีรูปแล้ว
J06,เส้นหมี่ก๋วยเตี๋ยวหลอด เห็ดหอมเต้าหู้ทรงเครื่อง,155,T1,1,2026-10-08,9-10-11 ต.ค.,เมนูใหม่ จาก S080 · 🆕 เมนูใหม่ · 🎬 ถ่าย 20 ก.ย.
J07,ข้าวเต้าหู้ทอดยัดไส้วุ้นเส้น ต้มซีอิ๊วญี่ปุ่น,155,T1,1,2026-10-08,9-10-11 ต.ค. · 📷 มีรูปแล้ว
J08,ข้าวยำเกาหลี เครื่องแน่นจุก,155,T1,1,2026-10-08,9-10-11 ต.ค.,ตรวจโปรตีน · 📷 มีรูปแล้ว
J09,ข้าวแกงเผ็ดเห็ดรวม ฟองเต้าหู้,155,T1,1,2026-10-08,9-10-11 ต.ค.,ต้องใช้พริกแกงเจ · 🆕 เมนูใหม่ · 🎬 ถ่าย 20 ก.ย.
J10,เกี๊ยวแห้งเห็ด + น้ำจิ้มซีฟู้ดเจ,175,T2,2,2026-10-11,12-15 ต.ค.,ต้นรอบ (ของกินเร็ว) · 🆕 เมนูใหม่ · 🎬 ถ่าย 20 ก.ย.
J11,โอเด้งฟองเต้าหู้ เต้าหู้แข็ง,155,T1,2,2026-10-11,12-15 ต.ค.,ถอดบุกออก เพิ่มเต้าหู้แข็ง · 📷 มีรูปแล้ว
J12,พาสต้าครีมซอสเห็ดแชมปิญอง,175,T2,2,2026-10-11,12-15 ต.ค.,ครีมจากเม็ดมะม่วง/เต้าหู้อ่อน ไม่ใช้นม · 📷 มีรูปแล้ว
J13,เพนเน่หมูสับจำแลง ผัดซอสมะเขือเทศ,175,T2,2,2026-10-11,12-15 ต.ค. · 📷 มีรูปแล้ว
J14,ข้าวเต้าหู้ย่างซอสเทริยากิ + ซุปมิโสะ,175,T2,2,2026-10-11,12-15 ต.ค.,ติดดาชิเจ (คมบุ+เห็ดหอมแห้ง) รอครัวชิม · 🆕 เมนูใหม่ · 🎬 ถ่าย 20 ก.ย.
J15,เส้นหมี่ผักลูกชิ้นเห็ดต้มยำ,155,T1,2,2026-10-11,12-15 ต.ค. · 📷 มีรูปแล้ว
J16,หมี่คลุก + ลูกชิ้นแคะเจ พร้อมซุป,155,T1,2,2026-10-11,12-15 ต.ค. · 📷 มีรูปแล้ว
J17,ข้าวคลุกคีนัว สเต็กเต้าหู้ผักย่าง,175,T2,2,2026-10-11,12-15 ต.ค. · 📷 มีรูปแล้ว
J18,ข้าวอบสาหร่าย เต้าหู้ย่างสไตล์ญี่ปุ่น,155,T1,2,2026-10-11,12-15 ต.ค.,ติดดาชิเจเหมือน J14 · 🆕 เมนูใหม่ · 📷 ถ่ายแล้ว 3 ก.ย.
J19,ข้าวผัดกิมจิ เต้าหู้ย่าง,155,T1,2,2026-10-11,12-15 ต.ค.,ท้ายรอบ (เก็บได้) · ต้องใช้กิมจิเจ · 🆕 เมนูใหม่ · 🎬 ถ่าย 20 ก.ย.
J20,ข้าวเต้าหู้ผัดพริกไทยดำ เห็ดฟาง,155,T1,2,2026-10-11,12-15 ต.ค.,ท้ายรอบ (เก็บได้) · 🆕 เมนูใหม่ · 🎬 ถ่าย 20 ก.ย.
J21,ข้าวผัดต้มยำหมูสับเจ เต้าหู้ย่างสไลด์ ราดซอสต้มยำ,175,T2,2,2026-10-11,12-15 ต.ค.,ท้ายรอบ · สูตรนัทออกแบบเอง โปรตีน 3 ชั้น · 🆕 เมนูใหม่ · 📷 ถ่ายแล้ว 3 ก.ย.
J22,ปอเปี๊ยะทอด (ย่าง) เวียดนาม,155,T1,3,2026-10-15,16-17-18 ต.ค.,ไส้ต้องผสมเต้าหู้เพิ่มโปรตีน · 📷 มีรูปแล้ว
J23,เฟรนฟรายมันหวาน + เบอร์เกอร์แพลนท์เบส,175,T2,3,2026-10-15,16-17-18 ต.ค.,ขนมปังบันต้องไม่มีนม/เนย/ไข่ · 📷 มีรูปแล้ว
J24,โรลเต้าหู้อโวคาโด พีนัตบัตเตอร์ซอส,175,T2,3,2026-10-15,16-17-18 ต.ค. · 📷 มีรูปแล้ว
J25,แอสพารากัสอบ ซอสเห็ดเข็มทองถั่วลิสง + มันอบ,175,T2,3,2026-10-15,16-17-18 ต.ค.,ใช้มาการีนเจ/น้ำมันมะกอก แทนเนย · 📷 มีรูปแล้ว
J26,ข้าวปั้นแฮมเบิร์กเจ ห่อสาหร่าย,155,T1,3,2026-10-15,16-17-18 ต.ค. · 📷 มีรูปแล้ว
J27,ผักกาดพันเต้าหู้เห็ดหอม ราดซีอิ๊วงา,155,T1,3,2026-10-15,16-17-18 ต.ค. · 🎬 ถ่าย 20 ก.ย. (ไม่มีรูปเก่า)
J28,ข้าวอบธัญพืช เกาลัด,175,T2,3,2026-10-15,16-17-18 ต.ค.,เช็คว่าเกาลัดหาได้ช่วง ต.ค. ไหม · 🎬 ถ่าย 20 ก.ย. (ไม่มีรูปเก่า)
J29,ผัดมันฝรั่งเส้นบุก ฟองเต้าหู้,155,T1,3,2026-10-15,16-17-18 ต.ค.,ต้องเพิ่มโปรตีนหนัก · 📷 มีรูปแล้ว
J30,ข้าวผัดเห็ดออรินจิ ซอสเนยถั่ว + เต้าหู้ย่าง,175,T2,3,2026-10-15,16-17-18 ต.ค.,สูตรนัทปรับ · ปนหมูสับเจในข้าว · 🆕 เมนูใหม่ · 🎬 ถ่าย 20 ก.ย.
