code,kcal,protein,carb,fat,name,week
D152,328,30,23,13,"สะโพกไก่อบกระเทียมเห็ด","323. 23-29/3/2026"
S082,333,28,33,10,"อกไก่พันหน่อไม้ฝรั่งอบเนย","323. 23-29/3/2026"
D043,210,20,3,13,"ลาบแซลมอน","325. 6-12/4/2026"
S165,357,33,38,8,"อกไก่ผัดพริกขิง","316. 02-08/2/2026"
D103,212,30,7,8,"อกไก่ผัดพริกขิง","316. 02-08/2/2026"
S154,236,27,10,10,"สลัดอกไก่ย่าง","316. 02-08/2/2026"
D016,186,26,5,7,"ไก่ผัดเม็ดมะม่วงหิมพานต์","342. 10-16/8/2026"
D013,197,26,8,7,"คะน้าฮ่องกงราดหมูสับเห็ดหอมผัดน้ำมันหอย","326. 16-26/4/2026"
D046,250,27,14,8,"แกงส้มชะอมกุ้ง","326. 16-26/4/2026"
D077,228,22,4,14,"แซลมอนซอสกะเพรา","337. 6-12/7/2026"
D156,240,33,9,7,"ยำหมูหวาน","319. 23-1/3/2026"
S142,264,29,30,3,"ปลากระพงนึ่งไข่ขาว","330. 18-24/5/2026"
D102,115,21,5,1,"ปลากระพงนึ่งไข่ขาว","330. 18-24/5/2026"
D070,135,23,8,7,"ปลาแซลมอนสมุนไพรลุยสวน","341. 3-9/8/2026"
S186,276,26.6,30.9,5.1,"ข้าวกุ้งผัดต้มยำแห้ง","338. 13-19/7/2026"
S169,427,33,40,15,"บะหมี่ผักต้มยำหมูมะนาว","322. 16-22/3/2026"
D138,238,26,5,4,"ต้มยำหมูมะนาว","322. 16-22/3/2026"
S124,348,33,54,2,"ข้าว น้ำพริกมะม่วงกุ้งสด+ผักลวก","322. 16-22/3/2026"
S191,273,30,29,3,"ข้าวปลากระพงสามรส","332. 1-7/6/2026"
D146,190,29,9,4,"อกไก่สับผัดซอสเสฉวน","324. 30-5/4/2026"
S132,279,29,27,6,"ข้าวมะเขือย่างราดซอสหมูสับผัดพริกเต้าเจี้ยว","327. 27-3/5/2026"
D134,186,26,5,7,"มะเขือย่างราดซอสหมูสับพริกเต้าเจี้ยว","327. 27-3/5/2026"
S174,308,33,34,4,"ข้าวปลากระพงอบสมุนไพร น้ำจิ้มซีฟู๊ด","339. 20-26/7/2026"
S105,356,21,39,13,"ข้าวแซลมอนย่างเกลือ+น้ำจิ้มซีฟู๊ด+น้ำพริก","340. 27-2/8/2026"
D105,287,24,3,18,"แซลมอนย่างเกลือน้ำจิ้มซีฟู๊ด","340. 27-2/8/2026"
D023,277,36,21,5,"ไก่ย่างตะไคร้น้ำจิ้มแจ่ว","328. 4-10/5/2026"
S106,512,38,39,22,"สปาเก็ตตี้ ปลากระพงอบเพสโต้","329. 11-17/5/2026"
D106,354,32,8,21,"ปลากระพงอบเพสโต้","329. 11-17/5/2026"
D144,191,24,15,4,"กุ้งผัดซอสพริก","329. 11-17/5/2026"
D148,237,26,20,6,"น้ำพริกอกไก่","329. 11-17/5/2026"
S198,378,17,37,18,"ข้าวอบไข่เค็มกุนเชียง","329. 11-17/5/2026"
S055,304,21,34,9,"ข้าวอบหนำเลี๊ยบอกไก่","330. 18-24/5/2026"
D092,221,29,10,8,"ปลากระพงย่างน้ำปลา+ยำมะม่วง","330. 18-24/5/2026"
S179,427,33,40,15,"ข้าวผัดไข่อกไก่สามเกลอ+น้ำพริกย่าง","330. 18-24/5/2026"
S199,406,22,42,19,"โปเกะโบลเต้าหู้ผักย่าง","332. 1-7/6/2026"
D097,155,25,4,5,"อกไก่สับทรงเครื่อง","333. 8-14/6/2026"
D145,220,31,10,9,"ไข่ต้มนึ่งสันในหมูสับ","333. 8-14/6/2026"
D107,236,32,8,8,"หมูสับผัดน้ำพริกตะไคร้","333. 8-14/6/2026"
D147,172,30,9,2,"กะเพราเห็ดเข็มทองอกไก่สับ","333. 8-14/6/2026"
S122,272,27,23,8,"ต้มยำปลาน้ำใส ผัดผักรวมกุ้ง","333. 8-14/6/2026"
S110,309,31,34,5,"ข้าวอกไก่คั่วตะไคร้","334. 15-21/6/2026"
S037,340,33,38,7,"สปาเก็ตตี้ผัดขี้เมาอกไก่ย่าง","334. 15-21/6/2026"
S119,316,25,27,12,"ข้าวคลุกปลาย่าง","334. 15-21/6/2026"
S118,348,23,37,12,"ข้าวผัดกุ้ง","334. 15-21/6/2026"
S170,313,33,34,5,"ข้าวแฮมเบิร์กซอสกะเพรา เห็ดออรินจิ","335. 22-28/6/2026"
S117,359,27,38,11,"ชาบูแห้ง","335. 22-28/6/2026"
D086,143,25,5,2,"อกไก่ผัดฉ่า","335. 22-28/6/2026"
S121,384,27,33,16,"ผัดซีอิ๊วอกไก่","335. 22-28/6/2026"
S073,400,32,36,14,"ข้าวปลาแกะน้ำยำรสเด็ด+ยำมะม่วง","335. 22-28/6/2026"
D067,181,33,7,3,"ปลากระพงผัดขึ้นฉ่าย","336. 29-5/7/2026"
S128,335,30,26,12,"สะโพกไก่ย่างน้ำจิ้มแจ่ว","336. 29-5/7/2026"
D170,248,22,18,9,"สะโพกไก่ย่างน้ำจิ้มแจ่ว","336. 29-5/7/2026"
S162,317,23,43,6,"สุกี้แห้งอกไก่ห่อไข่","336. 29-5/7/2026"
D194,202,29,18,1,"ส้มตำ+ไก่ย่าง","337. 6-12/7/2026"
D033,189,27,13,3,"อกไก่สับย่างขมิ้น+น้ำจิ้มอาจาด","337. 6-12/7/2026"
D129,235,43,11,6,"หมูสับผัดพริกหยวก","337. 6-12/7/2026"
D064,218,32,7,6,"หมูผัดต้มยำแห้ง","337. 6-12/7/2026"
D195,174,28,6,2,"อกไก่ย่างต้มยำ","338. 13-19/7/2026"
S123,360,30,47,6,"บะหมี่ผักอกไก่พริกเผาเต้าเจี้ยวเห็ด","338. 13-19/7/2026"
D123,191,29,7,4,"อกไก่สับผัดพริกเผาเต้าเจี้ยวเห็ด","338. 13-19/7/2026"
D068,166,28,6,3,"อกไก่ผัดขิง","338. 13-19/7/2026"
D196,292,28,34,6,"อกไก่พันสาหร่ายทรงเครื่อง","338. 13-19/7/2026"
S127,383,30,34,14,"ข้าวหมกไก่","338. 13-19/7/2026"
S048,366,15,43,16,"ข้าว ฟักทองผัดไข่","338. 13-19/7/2026"
S151,340,35,38,4,"พาสต้าคลุกซอส ลูกชิ้นอกไก่","339. 20-26/7/2026"
D197,192,30,9,3,"ลูกชิ้นอกไก่ปั้นก้อนซอสถั่วเหลือง","339. 20-26/7/2026"
D198,193,30,8,4,"หมูมะนาว","339. 20-26/7/2026"
D019,251,29,23,5,"ต้มยำน้ำพริกเผาอกไก่ฉีก","339. 20-26/7/2026"
D031,189,31,8,4,"เครื่องราดหน้าไก่","339. 20-26/7/2026"
S153,340,30,36,9,"ยำวุ้นเส้น กุ้งสด","339. 20-26/7/2026"
D101,197,29,13,3,"ไก่ย่างราดซอสต้มยำ","340. 27-2/8/2026"
D012,137,13,2,8,"แซลมอนซอสกะเพราเห็ดออรินจิ","340. 27-2/8/2026"
D137,316,22,48,4,"หมูสับต้มยำขลุกขลิก","340. 27-2/8/2026"
S072,391,38,36,10,"ข้าวกะเพราอกไก่ไข่ข้น","340. 27-2/8/2026"
D199,172,30,9,2,"กะเพราอกไก่ไข่ข้น","340. 27-2/8/2026"
S126,371,30,30,15,"สะโพกไก่ทาบาสโก้","340. 27-2/8/2026"
D162,208,30,11,5,"กุ้งผัดซอสอบวุ้นเส้น","341. 3-9/8/2026"
D052,147,28,4,1,"อกไก่ซูวี ซอสข้าวมันไก่","341. 3-9/8/2026"
S058,410,27,43,15,"ข้าวสะโพกไก่อบสตูว","341. 3-9/8/2026"
